PlayerName,TrackerID,KillDeathRatio,WinRatio,TimeSurvived,RoundsPlayed,Wins,WinTop10Ratio,Top10s,Top10Ratio,Losses,Rating,BestRating,DamagePg,HeadshotKillsPg,HealsPg,KillsPg,MoveDistancePg,RoadKillsPg,TeamKillsPg,TimeSurvivedPg,Top10sPg,Kills,Assists,Suicides,TeamKills,HeadshotKills,HeadshotKillRatio,VehicleDestroys,RoadKills,DailyKills,WeeklyKills,RoundMostKills,MaxKillStreaks,Days,LongestTimeSurvived,MostSurvivalTime,AvgSurvivalTime,WinPoints,WalkDistance,RideDistance,MoveDistance,AvgWalkDistance,AvgRideDistance,LongestKill,Heals,Boosts,DamageDealt
TraXGun,202680,4.5,0,3133.99,2,0,0,1,50,2,1262.49,1200,409.7,0.5,0.5,4.5,1764.16,0,0,1566.99,0.5,9,0,0,0,1,0.11,0,0,9,9,9,2,1,1762.79,1762.79,1566.99,1041,3528.32,0,3528.32,1764.16,0,58.14,1,5,819.4
sckeed,67619,2.02,3.41,70071.81,88,3,0.18,14,15.9,85,1929.36,1880.8,217.99,0.5,2,1.95,2440.3,0.02,0.01,796.27,0.16,172,6,1,1,44,0.26,0,2,16,16,11,2,25,2184.53,2184.53,744.87,3840,86554.7,128191.79,214746.47,933.84,1511.94,271.74,176,142,19183.04
OldThug,15033,0.68,5,28081.63,20,1,0.14,7,35,19,1639.06,1626.1,97.58,0.1,0.95,0.65,5512.04,0.1,0,1404.08,0.35,13,0,0,0,2,0.15,0,2,0,0,4,1,9,2184.54,2184.54,1404.08,1395,39922.03,70318.76,110240.8,1996.1,3515.94,209.58,19,40,1951.51
myamericanfriend,212693,1.66,2.47,73950.41,81,2,0.54,13,16,79,1683.31,1736.2,184.45,0.52,1.46,1.62,1749.6,0.02,0.01,912.97,0.16,131,10,1,1,42,0.32,0,2,9,11,12,3,39,1970.13,1970.13,938.91,2567,91894.78,49822.66,141717.44,1264.07,765.84,401,118,107,14940.59
Toolargetocare,89182,2.41,5.08,49284.02,59,3,0.38,10,16.9,56,1776.81,1755.18,255.76,0.68,2.19,2.29,2290.76,0.03,0.02,835.32,0.17,135,7,1,1,40,0.3,1,2,19,36,10,2,23,1949.24,1949.24,904.44,2710,72697.92,62456.67,135154.59,1345.24,1462.44,281.88,129,96,15089.92
Siir,5389,1.22,2.5,129542.9,120,3,0.11,27,22.5,117,2076.61,2143.02,155.85,0.22,2.94,1.19,2451.51,0,0,1079.52,0.22,143,13,0,0,26,0.18,0,0,3,5,6,2,21,2179.72,2179.72,1079.52,1736,210872.5,83309.15,294181.6,1757.27,694.24,391.98,353,211,18701.81
eZork,174452,1.37,2.67,63430.48,75,2,0.25,8,10.7,73,2110.2,2115.36,154.58,0.24,1.33,1.33,2374.49,0,0.01,845.74,0.11,100,5,1,1,18,0.18,0,0,3,11,10,1,17,2029.57,2029.57,845.74,1740,90049.52,88037.06,178086.6,1200.66,1173.83,317.38,100,84,11593.25
Mute-_-,181749,1.28,0,56075.45,54,0,0,10,18.5,54,1829.68,1850.16,151.98,0.15,1.57,1.28,2931.85,0.02,0,1038.43,0.19,69,1,0,0,8,0.12,0,1,8,9,8,1,23,1877.46,1877.46,1038.43,1511,93058.96,65260.91,158319.9,1723.31,1208.54,303.21,85,109,8206.86
TheDrunkenGuy,141015,1.74,0,30570.51,35,0,0,2,5.7,35,1587.58,1607.33,194.89,0.49,1.74,1.74,2331.93,0,0,873.44,0.06,61,3,0,0,17,0.28,0,0,2,3,7,2,15,1784.03,1784.03,873.44,1293,54354.31,27263.09,81617.4,1552.98,778.95,483.51,61,64,6821.3
Danwhy,158298,1.03,1.16,116090.3,172,2,0.18,11,6.4,170,2048.23,1955.62,117.28,0.16,1.1,1.02,1662.96,0.03,0.01,674.94,0.06,175,6,1,1,27,0.15,0,5,4,23,6,2,32,1892.91,1892.91,674.94,1700,151041.5,134988.1,286029.5,878.15,784.81,291.79,190,148,20172.25
